course_code,course_name,section_number,course_type,course_hours,course_gender,course_day,course_time,final_exam_day,final_exam_date,final_exam_time,lecturer
104 فيز,فيزياء عامه (2),81709,عملي,ذكر,مغلقة,"['5', '5']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
104 فيز,فيزياء عامه (2),81708,عملي,ذكر,مغلقة,"['5', '5']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
104 فيز,فيزياء عامه (2),82652,محاضرة,4,ذكر,['135'],['08:00-09:05'],2,1444-11-23,08:00 ص - 11:00 ص,['عبدالله محارب سيحان الظفيري']
104 فيز,فيزياء عامه (2),82653,عملي,ذكر,مغلقة,"['4', '4']","['10:30-11:35', '11:45-12:50']",---,---,---,['نياز احمد مظهر']
104 فيز,فيزياء عامه (2),82654,عملي,ذكر,مغلقة,"['1', '1']","['01:30-02:35', '02:45-03:50']",---,---,---,['احمد محمد احمد سجيع']
104 فيز,فيزياء عامه (2),82655,محاضرة,4,ذكر,"['35', '1']","['11:45-12:50', '11:45-12:50']",2,1444-11-23,08:00 ص - 11:00 ص,['محمد عبدالله محمد ابو الريش']
104 فيز,فيزياء عامه (2),82657,عملي,ذكر,مغلقة,"['3', '3']","['04:00-05:05', '05:15-06:20']",---,---,---,['طلال عبدالله خليف الشمرى']
104 فيز,فيزياء عامه (2),82656,عملي,ذكر,مغلقة,"['1', '1']","['04:00-05:05', '05:15-06:20']",---,---,---,['طلال عبدالله خليف الشمرى']
104 فيز,فيزياء عامه (2),82658,محاضرة,4,ذكر,['135'],['10:30-11:35'],2,1444-11-23,08:00 ص - 11:00 ص,['محمد عبدالله محمد ابو الريش']
104 فيز,فيزياء عامه (2),82659,عملي,ذكر,مغلقة,"['2', '2']","['01:30-02:35', '02:45-03:50']",---,---,---,['شاهد محمود رامي شودري عبدول']
104 فيز,فيزياء عامه (2),82660,عملي,ذكر,مغلقة,"['4', '4']","['01:30-02:35', '02:45-03:50']",---,---,---,['احمد احمد ابراهيم عبدالله']
104 فيز,فيزياء عامه (2),82661,محاضرة,4,ذكر,"['1', '35']","['09:15-10:20', '09:15-10:20']",2,1444-11-23,08:00 ص - 11:00 ص,['ابراهيم خالد ابراهيم النملة']
104 فيز,فيزياء عامه (2),82662,عملي,ذكر,مغلقة,"['3', '3']","['01:30-02:35', '02:45-03:50']",---,---,---,['طلال عبدالله خليف الشمرى']
104 فيز,فيزياء عامه (2),82663,عملي,ذكر,مغلقة,"['1', '1']","['01:30-02:35', '02:45-03:50']",---,---,---,['نواف محمد علي الطاسان']
151 ريض,الرياضيات المحددة,20547,محاضرة,3,ذكر,['135'],['11:45-12:50'],4,1444-12-03,01:00 م - 04:00 م,['عبداللطيف لعراجى']
151 ريض,الرياضيات المحددة,20548,تمارين,ذكر,مفتوحة,"['4', '4']","['08:00-09:05', '09:15-10:20']",---,---,---,['لم يحدد من الكلية']
151 ريض,الرياضيات المحددة,82685,محاضرة,3,ذكر,['135'],['10:30-11:35'],4,1444-12-03,01:00 م - 04:00 م,['المنصف بن سالم بوعزيز']
151 ريض,الرياضيات المحددة,82686,تمارين,ذكر,مفتوحة,"['4', '4']","['10:30-11:35', '11:45-12:50']",---,---,---,['لم يحدد من الكلية']
151 ريض,الرياضيات المحددة,82687,محاضرة,3,ذكر,"['24', '2']","['08:00-09:05', '09:15-10:20']",4,1444-12-03,01:00 م - 04:00 م,['احمد حميد شراري']
151 ريض,الرياضيات المحددة,82688,تمارين,ذكر,مفتوحة,"['1', '1']","['04:00-05:05', '05:15-06:20']",---,---,---,['لم يحدد من الكلية']
151 ريض,الرياضيات المحددة,82689,محاضرة,3,ذكر,"['35', '1']","['11:45-12:50', '11:45-12:50']",4,1444-12-03,01:00 م - 04:00 م,['المنصف بن سالم بوعزيز']
151 ريض,الرياضيات المحددة,82690,تمارين,ذكر,مفتوحة,"['3', '3']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
151 ريض,الرياضيات المحددة,82691,محاضرة,3,ذكر,['135'],['09:15-10:20'],4,1444-12-03,01:00 م - 04:00 م,['لم يحدد من الكلية']
151 ريض,الرياضيات المحددة,82692,تمارين,ذكر,مغلقة,"['1', '1']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
151 ريض,الرياضيات المحددة,82693,محاضرة,3,ذكر,['135'],['10:30-11:35'],4,1444-12-03,01:00 م - 04:00 م,['ايمن عبدالرحمان بن عميرة']
151 ريض,الرياضيات المحددة,82694,تمارين,ذكر,مفتوحة,"['5', '5']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
151 ريض,الرياضيات المحددة,82695,محاضرة,3,ذكر,"['1', '35']","['11:45-12:50', '11:45-12:50']",4,1444-12-03,01:00 م - 04:00 م,['لم يحدد من الكلية']
151 ريض,الرياضيات المحددة,82696,تمارين,ذكر,مغلقة,"['3', '3']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
