course_code,course_name,section_number,course_type,course_hours,course_gender,course_day,course_time,final_exam_day,final_exam_date,final_exam_time,lecturer
104 فيز,فيزياء عامه (2),81688,عملي,ذكر,مغلقة,"['2', '2']","['08:00-09:05', '09:15-10:20']",---,---,---,['شاهد محمود رامي شودري عبدول']
104 فيز,فيزياء عامه (2),81687,عملي,ذكر,مغلقة,"['2', '2']","['08:00-09:05', '09:15-10:20']",---,---,---,['عبدالعزيز فهد محمد الفرهود']
104 فيز,فيزياء عامه (2),81689,محاضرة,4,ذكر,['135'],['11:45-12:50'],2,1444-11-23,08:00 ص - 11:00 ص,['عمر حامد محمد عبدالقادر']
104 فيز,فيزياء عامه (2),81690,عملي,ذكر,مغلقة,"['4', '4']","['10:30-11:35', '11:45-12:50']",---,---,---,['محمد عاطف محمد رمضان']
104 فيز,فيزياء عامه (2),81691,عملي,ذكر,مغلقة,"['4', '4']","['10:30-11:35', '11:45-12:50']",---,---,---,['احمد احمد ابراهيم عبدالله']
104 فيز,فيزياء عامه (2),81692,محاضرة,4,ذكر,['135'],['10:30-11:35'],2,1444-11-23,08:00 ص - 11:00 ص,['ايمن محمد حمد السماعيل']
104 فيز,فيزياء عامه (2),81694,عملي,ذكر,مغلقة,"['4', '4']","['08:00-09:05', '09:15-10:20']",---,---,---,['عبدالعزيز فهد محمد الفرهود']
104 فيز,فيزياء عامه (2),81693,عملي,ذكر,مغلقة,"['4', '4']","['08:00-09:05', '09:15-10:20']",---,---,---,['احمد احمد ابراهيم عبدالله']
104 فيز,فيزياء عامه (2),81695,محاضرة,4,ذكر,['135'],['02:45-03:50'],2,1444-11-23,08:00 ص - 11:00 ص,['عبدالله عبدالرحمن ابراهيم البسام']
104 فيز,فيزياء عامه (2),81696,عملي,ذكر,مغلقة,"['4', '4']","['01:30-02:35', '02:45-03:50']",---,---,---,['طلال عبدالله خليف الشمرى']
104 فيز,فيزياء عامه (2),81697,عملي,ذكر,مغلقة,"['4', '4']","['01:30-02:35', '02:45-03:50']",---,---,---,['شاهد محمود رامي شودري عبدول']
104 فيز,فيزياء عامه (2),81698,محاضرة,4,ذكر,['135'],['01:30-02:35'],2,1444-11-23,08:00 ص - 11:00 ص,['عمر حامد محمد عبدالقادر']
104 فيز,فيزياء عامه (2),81699,عملي,ذكر,مغلقة,"['2', '2']","['10:30-11:35', '11:45-12:50']",---,---,---,['محمود علي صالح القواتي']
104 فيز,فيزياء عامه (2),81700,عملي,ذكر,مغلقة,"['2', '2']","['10:30-11:35', '11:45-12:50']",---,---,---,['نواف محمد علي الطاسان']
104 فيز,فيزياء عامه (2),81701,محاضرة,4,ذكر,"['24', '4']","['10:30-11:35', '11:45-12:50']",2,1444-11-23,08:00 ص - 11:00 ص,['لم يحدد من الكلية']
104 فيز,فيزياء عامه (2),81703,عملي,ذكر,مغلقة,"['5', '5']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
104 فيز,فيزياء عامه (2),81702,عملي,ذكر,مغلقة,"['5', '5']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
104 فيز,فيزياء عامه (2),81704,محاضرة,4,ذكر,"['4', '24']","['08:00-09:05', '09:15-10:20']",2,1444-11-23,08:00 ص - 11:00 ص,['لم يحدد من الكلية']
104 فيز,فيزياء عامه (2),81705,عملي,ذكر,مغلقة,"['1', '1']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
104 فيز,فيزياء عامه (2),81706,عملي,ذكر,مغلقة,"['1', '1']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
104 فيز,فيزياء عامه (2),81707,محاضرة,4,ذكر,"['24', '2']","['10:30-11:35', '11:45-12:50']",2,1444-11-23,08:00 ص - 11:00 ص,['لم يحدد من الكلية']
104 فيز,فيزياء عامه (2),81709,عملي,ذكر,مغلقة,"['5', '5']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
104 فيز,فيزياء عامه (2),81708,عملي,ذكر,مغلقة,"['5', '5']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
104 فيز,فيزياء عامه (2),82652,محاضرة,4,ذكر,['135'],['08:00-09:05'],2,1444-11-23,08:00 ص - 11:00 ص,['عبدالله محارب سيحان الظفيري']
104 فيز,فيزياء عامه (2),82653,عملي,ذكر,مغلقة,"['1', '1']","['01:30-02:35', '02:45-03:50']",---,---,---,['احمد محمد احمد سجيع']
104 فيز,فيزياء عامه (2),82654,عملي,ذكر,مغلقة,"['4', '4']","['10:30-11:35', '11:45-12:50']",---,---,---,['نياز احمد مظهر']
104 فيز,فيزياء عامه (2),82655,محاضرة,4,ذكر,"['35', '1']","['11:45-12:50', '11:45-12:50']",2,1444-11-23,08:00 ص - 11:00 ص,['محمد عبدالله محمد ابو الريش']
104 فيز,فيزياء عامه (2),82657,عملي,ذكر,مغلقة,"['3', '3']","['04:00-05:05', '05:15-06:20']",---,---,---,['طلال عبدالله خليف الشمرى']
104 فيز,فيزياء عامه (2),82656,عملي,ذكر,مغلقة,"['1', '1']","['04:00-05:05', '05:15-06:20']",---,---,---,['طلال عبدالله خليف الشمرى']
104 فيز,فيزياء عامه (2),82658,محاضرة,4,ذكر,['135'],['10:30-11:35'],2,1444-11-23,08:00 ص - 11:00 ص,['محمد عبدالله محمد ابو الريش']
104 فيز,فيزياء عامه (2),82660,عملي,ذكر,مغلقة,"['4', '4']","['01:30-02:35', '02:45-03:50']",---,---,---,['احمد احمد ابراهيم عبدالله']
104 فيز,فيزياء عامه (2),82659,عملي,ذكر,مغلقة,"['2', '2']","['01:30-02:35', '02:45-03:50']",---,---,---,['شاهد محمود رامي شودري عبدول']
