course_code,course_name,section_number,course_type,course_hours,course_gender,course_day,course_time,final_exam_day,final_exam_date,final_exam_time,lecturer
103 فيز,فيزياء عامة (1),82636,عملي,ذكر,مغلقة,"['2', '2']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),82635,عملي,ذكر,مغلقة,"['2', '2']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),82637,محاضرة,4,ذكر,"['35', '1']","['09:15-10:20', '09:15-10:20']",2,1444-11-23,08:00 ص - 11:00 ص,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),82639,عملي,ذكر,مغلقة,"['4', '4']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),82638,عملي,ذكر,مغلقة,"['4', '4']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),82640,محاضرة,4,ذكر,['135'],['10:30-11:35'],2,1444-11-23,08:00 ص - 11:00 ص,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),82641,عملي,ذكر,مغلقة,"['4', '4']","['10:30-11:35', '11:45-12:50']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),82642,عملي,ذكر,مغلقة,"['4', '4']","['10:30-11:35', '11:45-12:50']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),82643,محاضرة,4,ذكر,['135'],['10:30-11:35'],2,1444-11-23,08:00 ص - 11:00 ص,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),82645,عملي,ذكر,مغلقة,"['2', '2']","['10:30-11:35', '11:45-12:50']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),82644,عملي,ذكر,مغلقة,"['3', '3']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),82646,محاضرة,4,ذكر,['135'],['11:45-12:50'],2,1444-11-23,08:00 ص - 11:00 ص,['عمر مرزوق محمد الدوسرى']
103 فيز,فيزياء عامة (1),82648,عملي,ذكر,مغلقة,"['4', '4']","['10:30-11:35', '11:45-12:50']",---,---,---,['احمد محمد احمد سجيع']
103 فيز,فيزياء عامة (1),82647,عملي,ذكر,مغلقة,"['1', '1']","['01:30-02:35', '02:45-03:50']",---,---,---,['عبدالعزيز فهد محمد الفرهود']
103 فيز,فيزياء عامة (1),82649,محاضرة,4,ذكر,['135'],['09:15-10:20'],2,1444-11-23,08:00 ص - 11:00 ص,['محمد سليمان عائد العائد']
103 فيز,فيزياء عامة (1),82651,عملي,ذكر,مفتوحة,"['2', '2']","['01:30-02:35', '02:45-03:50']",---,---,---,['طلال عبدالله خليف الشمرى']
103 فيز,فيزياء عامة (1),82650,عملي,ذكر,مفتوحة,"['5', '5']","['01:30-02:35', '02:45-03:50']",---,---,---,['شاهد محمود رامي شودري عبدول']
103 فيز,فيزياء عامة (1),83656,محاضرة,4,ذكر,['135'],['08:00-09:05'],2,1444-11-23,08:00 ص - 11:00 ص,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),83657,عملي,ذكر,مغلقة,"['2', '2']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),83658,عملي,ذكر,مغلقة,"['2', '2']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
201 كهر,اساسيات الدوائر الكهربائية,13064,محاضرة,3,ذكر,"['15', '1']","['10:30-11:35', '11:45-12:50']",1,1444-11-22,01:00 م - 04:00 م,['لم يحدد من الكلية']
201 كهر,اساسيات الدوائر الكهربائية,13065,تمارين,ذكر,مغلقة,['5'],['11:45-12:50'],---,---,---,['لم يحدد من الكلية']
201 كهر,اساسيات الدوائر الكهربائية,77982,محاضرة,3,ذكر,"['24', '2']","['01:30-02:35', '02:45-03:50']",1,1444-11-22,01:00 م - 04:00 م,['عمرو محمد راغب علام']
201 كهر,اساسيات الدوائر الكهربائية,77983,تمارين,ذكر,مغلقة,['4'],['02:45-03:50'],---,---,---,['عمرو محمد راغب علام']
230 نال,اسس قواعد البيانات,12451,محاضرة,3,ذكر,"['4', '24']","['08:00-09:05', '09:15-10:20']",1,1444-11-29,08:00 ص - 11:00 ص,['يزيد ابراهيم عبدالعزيز العبدالكريم']
230 نال,اسس قواعد البيانات,12452,تمارين,ذكر,مغلقة,['2'],['08:00-09:05'],---,---,---,['عبدالعزيز عبدالرحمن عبدالعزيز الهدلق']
230 نال,اسس قواعد البيانات,14055,محاضرة,3,ذكر,"['24', '4']","['08:00-09:05', '09:15-10:20']",1,1444-11-29,08:00 ص - 11:00 ص,['لم يحدد من الكلية']
230 نال,اسس قواعد البيانات,14056,تمارين,ذكر,مغلقة,['2'],['09:15-10:20'],---,---,---,['عبدالعزيز عبدالرحمن عبدالعزيز الهدلق']
230 نال,اسس قواعد البيانات,35583,محاضرة,3,ذكر,"['4', '24']","['10:30-11:35', '11:45-12:50']",1,1444-11-29,08:00 ص - 11:00 ص,['يزيد ابراهيم عبدالعزيز العبدالكريم']
230 نال,اسس قواعد البيانات,35584,تمارين,ذكر,مغلقة,['2'],['10:30-11:35'],---,---,---,['عبدالعزيز عبدالرحمن عبدالعزيز الهدلق']
230 نال,اسس قواعد البيانات,64230,محاضرة,3,ذكر,"['24', '4']","['10:30-11:35', '11:45-12:50']",1,1444-11-29,08:00 ص - 11:00 ص,['مراد بن شيخ']
230 نال,اسس قواعد البيانات,64231,تمارين,ذكر,مغلقة,['2'],['11:45-12:50'],---,---,---,['عبدالعزيز عبدالرحمن عبدالعزيز الهدلق']
230 نال,اسس قواعد البيانات,86741,محاضرة,3,ذكر,"['24', '4']","['10:30-11:35', '11:45-12:50']",1,1444-11-29,08:00 ص - 11:00 ص,['حمد عبدالرحمن عبدالله الصالح']
230 نال,اسس قواعد البيانات,86742,تمارين,ذكر,مغلقة,['2'],['11:45-12:50'],---,---,---,['مراد بن شيخ']
104 فيز,فيزياء عامه (2),81665,محاضرة,4,ذكر,['135'],['09:15-10:20'],2,1444-11-23,08:00 ص - 11:00 ص,['هادى رسام هادى القحطانى']
104 فيز,فيزياء عامه (2),81667,عملي,ذكر,مغلقة,"['2', '2']","['10:30-11:35', '11:45-12:50']",---,---,---,['طلال عبدالله خليف الشمرى']
104 فيز,فيزياء عامه (2),81666,عملي,ذكر,مغلقة,"['2', '2']","['10:30-11:35', '11:45-12:50']",---,---,---,['محمد عاطف محمد رمضان']
104 فيز,فيزياء عامه (2),81668,محاضرة,4,ذكر,['135'],['08:00-09:05'],2,1444-11-23,08:00 ص - 11:00 ص,['هادى رسام هادى القحطانى']
104 فيز,فيزياء عامه (2),81670,عملي,ذكر,مغلقة,"['2', '2']","['08:00-09:05', '09:15-10:20']",---,---,---,['محمد عاطف محمد رمضان']
104 فيز,فيزياء عامه (2),81669,عملي,ذكر,مغلقة,"['2', '2']","['08:00-09:05', '09:15-10:20']",---,---,---,['احمد احمد ابراهيم عبدالله']
104 فيز,فيزياء عامه (2),81671,محاضرة,4,ذكر,['135'],['11:45-12:50'],2,1444-11-23,08:00 ص - 11:00 ص,['ايمن محمد حمد السماعيل']
104 فيز,فيزياء عامه (2),81672,عملي,ذكر,مغلقة,"['4', '4']","['10:30-11:35', '11:45-12:50']",---,---,---,['عبدالعزيز فهد محمد الفرهود']
104 فيز,فيزياء عامه (2),81673,عملي,ذكر,مغلقة,"['4', '4']","['10:30-11:35', '11:45-12:50']",---,---,---,['نواف محمد علي الطاسان']
104 فيز,فيزياء عامه (2),81674,محاضرة,4,ذكر,['135'],['10:30-11:35'],2,1444-11-23,08:00 ص - 11:00 ص,['ابراهيم خالد ابراهيم النملة']
104 فيز,فيزياء عامه (2),81675,عملي,ذكر,مغلقة,"['4', '4']","['08:00-09:05', '09:15-10:20']",---,---,---,['نواف محمد علي الطاسان']
104 فيز,فيزياء عامه (2),81676,عملي,ذكر,مغلقة,"['4', '4']","['08:00-09:05', '09:15-10:20']",---,---,---,['محمد عاطف محمد رمضان']
104 فيز,فيزياء عامه (2),81677,محاضرة,4,ذكر,['135'],['02:45-03:50'],2,1444-11-23,08:00 ص - 11:00 ص,['ابوبكر احمد محمد صديق']
104 فيز,فيزياء عامه (2),81678,عملي,ذكر,مغلقة,"['4', '4']","['01:30-02:35', '02:45-03:50']",---,---,---,['محمد عاطف محمد رمضان']
104 فيز,فيزياء عامه (2),81679,عملي,ذكر,مغلقة,"['4', '4']","['01:30-02:35', '02:45-03:50']",---,---,---,['عبدالعزيز فهد محمد الفرهود']
104 فيز,فيزياء عامه (2),81680,محاضرة,4,ذكر,['135'],['01:30-02:35'],2,1444-11-23,08:00 ص - 11:00 ص,['عبدالله عبدالرحمن ابراهيم البسام']
104 فيز,فيزياء عامه (2),81681,عملي,ذكر,مغلقة,"['2', '2']","['01:30-02:35', '02:45-03:50']",---,---,---,['احمد احمد ابراهيم عبدالله']
104 فيز,فيزياء عامه (2),81682,عملي,ذكر,مغلقة,"['2', '2']","['01:30-02:35', '02:45-03:50']",---,---,---,['محمد عاطف محمد رمضان']
104 فيز,فيزياء عامه (2),81683,محاضرة,4,ذكر,['135'],['09:15-10:20'],2,1444-11-23,08:00 ص - 11:00 ص,['محمد عبدالله محمد ابو الريش']
104 فيز,فيزياء عامه (2),81684,عملي,ذكر,مغلقة,"['2', '2']","['10:30-11:35', '11:45-12:50']",---,---,---,['عبدالعزيز فهد محمد الفرهود']
104 فيز,فيزياء عامه (2),81685,عملي,ذكر,مغلقة,"['2', '2']","['10:30-11:35', '11:45-12:50']",---,---,---,['شاهد محمود رامي شودري عبدول']
104 فيز,فيزياء عامه (2),81686,محاضرة,4,ذكر,['135'],['08:00-09:05'],2,1444-11-23,08:00 ص - 11:00 ص,['ابراهيم خالد ابراهيم النملة']
104 فيز,فيزياء عامه (2),81687,عملي,ذكر,مغلقة,"['2', '2']","['08:00-09:05', '09:15-10:20']",---,---,---,['شاهد محمود رامي شودري عبدول']
104 فيز,فيزياء عامه (2),81688,عملي,ذكر,مغلقة,"['2', '2']","['08:00-09:05', '09:15-10:20']",---,---,---,['عبدالعزيز فهد محمد الفرهود']
104 فيز,فيزياء عامه (2),81689,محاضرة,4,ذكر,['135'],['11:45-12:50'],2,1444-11-23,08:00 ص - 11:00 ص,['عمر حامد محمد عبدالقادر']
104 فيز,فيزياء عامه (2),81690,عملي,ذكر,مغلقة,"['4', '4']","['10:30-11:35', '11:45-12:50']",---,---,---,['احمد احمد ابراهيم عبدالله']
104 فيز,فيزياء عامه (2),81691,عملي,ذكر,مغلقة,"['4', '4']","['10:30-11:35', '11:45-12:50']",---,---,---,['محمد عاطف محمد رمضان']
104 فيز,فيزياء عامه (2),81692,محاضرة,4,ذكر,['135'],['10:30-11:35'],2,1444-11-23,08:00 ص - 11:00 ص,['ايمن محمد حمد السماعيل']
104 فيز,فيزياء عامه (2),81694,عملي,ذكر,مغلقة,"['4', '4']","['08:00-09:05', '09:15-10:20']",---,---,---,['عبدالعزيز فهد محمد الفرهود']
104 فيز,فيزياء عامه (2),81693,عملي,ذكر,مغلقة,"['4', '4']","['08:00-09:05', '09:15-10:20']",---,---,---,['احمد احمد ابراهيم عبدالله']
104 فيز,فيزياء عامه (2),81695,محاضرة,4,ذكر,['135'],['02:45-03:50'],2,1444-11-23,08:00 ص - 11:00 ص,['عبدالله عبدالرحمن ابراهيم البسام']
104 فيز,فيزياء عامه (2),81697,عملي,ذكر,مغلقة,"['4', '4']","['01:30-02:35', '02:45-03:50']",---,---,---,['شاهد محمود رامي شودري عبدول']
104 فيز,فيزياء عامه (2),81696,عملي,ذكر,مغلقة,"['4', '4']","['01:30-02:35', '02:45-03:50']",---,---,---,['طلال عبدالله خليف الشمرى']
104 فيز,فيزياء عامه (2),81698,محاضرة,4,ذكر,['135'],['01:30-02:35'],2,1444-11-23,08:00 ص - 11:00 ص,['عمر حامد محمد عبدالقادر']
104 فيز,فيزياء عامه (2),81699,عملي,ذكر,مغلقة,"['2', '2']","['10:30-11:35', '11:45-12:50']",---,---,---,['نواف محمد علي الطاسان']
104 فيز,فيزياء عامه (2),81700,عملي,ذكر,مغلقة,"['2', '2']","['10:30-11:35', '11:45-12:50']",---,---,---,['محمود علي صالح القواتي']
104 فيز,فيزياء عامه (2),81701,محاضرة,4,ذكر,"['24', '4']","['10:30-11:35', '11:45-12:50']",2,1444-11-23,08:00 ص - 11:00 ص,['لم يحدد من الكلية']
104 فيز,فيزياء عامه (2),81702,عملي,ذكر,مغلقة,"['5', '5']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
