course_code,course_name,section_number,course_type,course_hours,course_gender,course_day,course_time,final_exam_day,final_exam_date,final_exam_time,lecturer
203 ريض,حساب التفاضل والتكامل,85587,تمارين,ذكر,مفتوحة,"['2', '2']","['08:00-09:05', '09:15-10:20']",---,---,---,['لم يحدد من الكلية']
203 ريض,حساب التفاضل والتكامل,85588,محاضرة,3,ذكر,['135'],['11:45-12:50'],4,1444-11-25,08:00 ص - 11:00 ص,['محفوظ عالم']
203 ريض,حساب التفاضل والتكامل,85589,تمارين,ذكر,مفتوحة,"['2', '2']","['10:30-11:35', '11:45-12:50']",---,---,---,['لم يحدد من الكلية']
203 ريض,حساب التفاضل والتكامل,85590,محاضرة,3,ذكر,['135'],['01:30-02:35'],4,1444-11-25,08:00 ص - 11:00 ص,['شريف صادق دشموخ']
203 ريض,حساب التفاضل والتكامل,85591,تمارين,ذكر,مفتوحة,"['4', '4']","['08:00-09:05', '09:15-10:20']",---,---,---,['لم يحدد من الكلية']
203 ريض,حساب التفاضل والتكامل,85592,محاضرة,3,ذكر,['135'],['02:45-03:50'],4,1444-11-25,08:00 ص - 11:00 ص,['محفوظ عالم']
203 ريض,حساب التفاضل والتكامل,85593,تمارين,ذكر,مفتوحة,"['4', '4']","['10:30-11:35', '11:45-12:50']",---,---,---,['لم يحدد من الكلية']
203 ريض,حساب التفاضل والتكامل,85594,محاضرة,3,ذكر,"['2', '24']","['08:00-09:05', '09:15-10:20']",4,1444-11-25,08:00 ص - 11:00 ص,['مصطفى - - بشر']
203 ريض,حساب التفاضل والتكامل,85595,تمارين,ذكر,مفتوحة,"['4', '4']","['10:30-11:35', '11:45-12:50']",---,---,---,['لم يحدد من الكلية']
203 ريض,حساب التفاضل والتكامل,85596,محاضرة,3,ذكر,"['24', '2']","['10:30-11:35', '11:45-12:50']",4,1444-11-25,08:00 ص - 11:00 ص,['مصطفى - - بشر']
203 ريض,حساب التفاضل والتكامل,85597,تمارين,ذكر,مفتوحة,"['4', '4']","['08:00-09:05', '09:15-10:20']",---,---,---,['لم يحدد من الكلية']
203 ريض,حساب التفاضل والتكامل,85598,محاضرة,3,ذكر,['135'],['01:30-02:35'],4,1444-11-25,08:00 ص - 11:00 ص,['عبداللطيف لعراجى']
203 ريض,حساب التفاضل والتكامل,85599,تمارين,ذكر,مفتوحة,"['4', '4']","['08:00-09:05', '09:15-10:20']",---,---,---,['لم يحدد من الكلية']
203 ريض,حساب التفاضل والتكامل,85600,محاضرة,3,ذكر,['135'],['02:45-03:50'],4,1444-11-25,08:00 ص - 11:00 ص,['لم يحدد من الكلية']
203 ريض,حساب التفاضل والتكامل,85601,تمارين,ذكر,مفتوحة,"['4', '4']","['10:30-11:35', '11:45-12:50']",---,---,---,['لم يحدد من الكلية']
203 ريض,حساب التفاضل والتكامل,85602,محاضرة,3,ذكر,"['4', '24']","['08:00-09:05', '09:15-10:20']",4,1444-11-25,08:00 ص - 11:00 ص,['لم يحدد من الكلية']
203 ريض,حساب التفاضل والتكامل,85603,تمارين,ذكر,مفتوحة,"['2', '2']","['10:30-11:35', '11:45-12:50']",---,---,---,['لم يحدد من الكلية']
203 ريض,حساب التفاضل والتكامل,85604,محاضرة,3,ذكر,"['24', '4']","['10:30-11:35', '11:45-12:50']",4,1444-11-25,08:00 ص - 11:00 ص,['لم يحدد من الكلية']
203 ريض,حساب التفاضل والتكامل,85605,تمارين,ذكر,مفتوحة,"['2', '2']","['08:00-09:05', '09:15-10:20']",---,---,---,['لم يحدد من الكلية']
101 كيح,كيمياء حيوية عامة,4165,محاضرة,4,ذكر,['135'],['11:45-12:50'],3,1444-11-24,01:00 م - 04:00 م,['خالد عبدالرحمن منصور الحميميدي']
101 كيح,كيمياء حيوية عامة,4168,عملي,ذكر,مفتوحة,"['4', '4']","['10:30-11:35', '11:45-12:50']",---,---,---,['عبدالغني عبدالاله عبدالغني بن نفيسه']
101 كيح,كيمياء حيوية عامة,72819,عملي,ذكر,مفتوحة,"['4', '4']","['10:30-11:35', '11:45-12:50']",---,---,---,['فهد عبدالرحمن حمد بن شاهين']
101 كيح,كيمياء حيوية عامة,82060,محاضرة,4,ذكر,['135'],['08:00-09:05'],3,1444-11-24,01:00 م - 04:00 م,['عبدالعزيز محمد عبدالرحمن العمرى']
101 كيح,كيمياء حيوية عامة,82061,عملي,ذكر,مفتوحة,"['5', '5']","['10:30-11:35', '11:45-12:50']",---,---,---,['عبدالله بن عبدالرحمن بن عبدالله الضويلع']
101 كيح,كيمياء حيوية عامة,82062,عملي,ذكر,مفتوحة,"['5', '5']","['10:30-11:35', '11:45-12:50']",---,---,---,['عبدالعزيز بن عبدالله بن محمد ال الدهيس العمري']
101 كيح,كيمياء حيوية عامة,82123,محاضرة,4,ذكر,['135'],['10:30-11:35'],3,1444-11-24,01:00 م - 04:00 م,['محمد سمير عبدالعزيز الربع']
